"";"mock1";"mock2";"mock3";"hrcc1";"hrcc2";"hrcc3"
"X";"mock1";"mock2";"mock3";"hrcc1";"hrcc2";"hrcc3"
"treatment";"mock";"mock";"mock";"hrcc";"hrcc";"hrcc"
"time";"1";"2";"3";"1";"2";"3"
"AT1G01010";"40.3882111532752";"84.5080840057677";"28.9375349093848";"44.3714932899193";"99.5195310992462";"39.2017400053462"
"AT1G01020";"49.6198022740238";"49.387841302072";"23.1500279275078";"41.4777002492724";"60.6447142636031";"32.0147543376994"
"AT1G01030";"18.4631822414972";"26.3401820277717";"18.8093976911001";"26.0441373658222";"54.4247435699003";"13.0672466684487"
"AT1G01040";"83.0843200867375";"47.192826133091";"46.3000558550157";"63.6634468942321";"38.874816835643";"58.8026100080193"
"AT1G01050";"56.5434956145853";"85.6055915902582";"65.1094535461158";"64.6280445744477";"69.9746703041575";"39.2017400053462"
"AT1G01060";"0";"16.4626137673573";"1.44687674546924";"0";"32.6548461419402";"5.22689866737949"
"AT1G01070";"18.4631822414972";"37.3152578726766";"4.34063023640772";"8.68137912194074";"31.0998534685144";"0.653362333422436"
"AT1G01080";"196.171311315908";"209.623948637683";"276.353458384625";"122.503905387386";"152.389281995721";"120.218669349728"
"AT1G01090";"335.799127017231";"379.737624233709";"407.295803849591";"164.946203316874";"180.379150117384";"295.973137040364"
"AT1G01100";"130.396224580574";"137.188448061311";"177.965839692716";"75.2386190568197";"41.9848021824945";"235.8638023655"
"AT1G01120";"263.100346941335";"207.428933468702";"195.328360638347";"141.795858991699";"129.064391894335";"113.685046015504"
"AT1G01130";"10.3855400108422";"12.0725834293954";"0.72343837273462";"0";"3.10998534685144";"5.88026100080193"
"AT1G01140";"208.864749106937";"131.700910138859";"102.728248928316";"155.300226514718";"113.514465160078";"87.5505526786065"
"AT1G01160";"135.012020140948";"137.188448061311";"155.539250137943";"82.9554004985448";"71.5296629775832";"138.512814685557"
"AT1G01170";"85.3922178669247";"62.5579323159579";"59.3219465642388";"34.725516487763";"34.2098388153659";"18.9475076692507"
"AT1G01180";"53.0816489443045";"7.68255309143342";"18.8093976911001";"23.1503443251753";"27.989868121663";"37.8950153385013"
"AT1G01210";"205.402902436657";"222.794039651569";"70.8969605279927";"197.742524444206";"129.064391894335";"93.4308136794084"
"AT1G01220";"30.002671142433";"53.777871640034";"28.9375349093848";"20.2565512845284";"23.3248901013858";"22.2143193363628"
"AT1G01225";"4.61579556037431";"10.9750758449049";"4.34063023640772";"5.78758608129383";"0";"1.96008700026731"
"AT1G01230";"83.0843200867375";"55.972886809015";"41.9594256186079";"67.5218376150946";"27.989868121663";"50.3088996735276"
"AT1G01240";"93.4698600975797";"97.6781750196535";"32.5547267730579";"59.8050561733695";"37.3198241622173";"21.5609570029404"
"AT1G01260";"17.3092333514036";"57.0703943935054";"26.7672197911809";"31.831723447116";"41.9848021824945";"35.2815660048116"
"AT1G01290";"8.07764223065504";"17.5601213518478";"16.6390825728963";"28.9379304064691";"7.77496336712861";"12.4138843350263"
"AT1G01300";"86.5461667570183";"126.213372216406";"167.837702474432";"85.8491935391917";"169.494201403404";"146.353162686626"
"AT1G01320";"518.123051652016";"647.529474849389";"1028.00592765589";"465.900679544153";"452.502867966885";"631.148014086074"
"AT1G01340";"32.3105689226201";"7.68255309143342";"28.9375349093848";"38.5839072086255";"32.6548461419402";"59.4559723414417"
"AT1G01350";"34.6184667028073";"24.1451668587908";"31.1078500275886";"39.5485048888411";"15.5499267342572";"20.2542323360955"
"AT1G01360";"15.0013355712165";"7.68255309143342";"9.40469884555005";"7.7167814417251";"10.88494871398";"7.1869856676468"
"AT1G01390";"9.23159112074861";"15.3651061828668";"9.40469884555005";"6.75218376150946";"6.21997069370289";"5.88026100080193"
"AT1G01420";"38.080313373088";"40.6077806261481";"51.364124464158";"21.221148964744";"18.6599120811087";"30.0546673374321"
"AT1G01430";"133.858071250855";"120.725834293954";"109.962632655662";"66.557239934879";"49.7597655496231";"54.2290736740622"
"AT1G01440";"39.2342622631816";"36.2177502881861";"37.6187953822002";"30.8671257669004";"41.9848021824945";"35.2815660048116"
"AT1G01448";"17.3092333514036";"17.5601213518478";"32.5547267730579";"10.610574482372";"4.66497802027716";"25.481131003475"
"AT1G01470";"761.606267461761";"616.799262483655";"416.700502695141";"512.201368194504";"920.555662668027";"369.149718383677"
"AT1G01480";"11.5394889009358";"63.6554399004484";"10.8515755910193";"50.1590793712132";"150.834289322295";"57.4958853411744"
"AT1G01490";"366.955747049757";"266.694343031189";"99.8344954373775";"232.468040931969";"189.709106157938";"124.138843350263"
"AT1G01500";"60.005342284866";"43.9003033796196";"80.3016593735428";"55.946665452507";"32.6548461419402";"105.191335681012"
"AT1G01510";"33.4645178127137";"26.3401820277717";"27.4906581639155";"25.0795396856066";"18.6599120811087";"41.8151893390359"
"AT1G01540";"64.6211378452403";"84.5080840057677";"58.5985081915042";"58.8404584931539";"43.5397948559202";"58.1492476745968"
"AT1G01550";"366.955747049757";"212.916471391155";"532.45064233268";"500.626196031916";"359.203307561342";"695.177522761472"
